NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE
_NDP_custom-call.303_0,0x600000,6,5,15,0
_NDP_custom-call.304_0,0x180000,6,5,15,0
_NDP_custom-call.305_0,0x180000,6,5,15,0
_NDP_custom-call.306_0,0x180000,3,2,6,386112
_NDP_custom-call.307_0,0x180000,3,2,6,402134
_NDP_custom-call.308_0,0x180000,3,2,6,385570
_NDP_custom-call.309_0,0x180000,4,1,5,216364
_NDP_custom-call.310_0,0x180000,4,1,5,216665
_NDP_custom-call.311_0,0x8000,8,1,20,3909
_NDP_custom-call.312_0,0x180000,2,1,3,84491
_NDP_custom-call.313_0,0x180000,2,1,3,84399
_NDP_custom-call.314_0,0x2cb5c00,8,3,16,0
_NDP_custom-call.315_0,0x180000,4,1,5,216529
_NDP_custom-call.316_0,0x180000,4,1,5,216037
_NDP_custom-call.317_0,0x6000,2,1,2,3297
_NDP_custom-call.318_0,0x6000,2,1,2,3221
_NDP_custom-call.319_0,0x6000,2,1,2,3220
_NDP_custom-call.320_0,0x6000,2,1,2,3221
_NDP_custom-call.321_0,0x6000,2,1,2,3220
_NDP_custom-call.322_0,0x6000,2,1,2,3220
_NDP_custom-call.323_0,0x6000,2,1,2,3220
_NDP_custom-call.324_0,0x6000,2,1,2,3220
_NDP_custom-call.325_0,0x6000,2,1,2,3220
_NDP_custom-call.326_0,0x6000,2,1,2,3220
_NDP_custom-call.327_0,0x6000,2,1,2,3220
_NDP_custom-call.328_0,0x6000,2,1,2,3220
_NDP_custom-call.329_0,0x6000,2,1,2,3222
_NDP_custom-call.330_0,0x180000,4,1,5,224109
_NDP_custom-call.331_0,0x180000,4,1,5,245073
_NDP_custom-call.332_0,0x180000,2,1,3,84415
_NDP_custom-call.333_0,0x180000,2,1,3,84651
_NDP_custom-call.334_0,0x180000,4,1,5,224473
_NDP_custom-call.335_0,0x180000,4,1,5,246853
_NDP_custom-call.336_0,0x180000,4,1,5,215192
_NDP_custom-call.337_0,0x180000,2,1,3,84603
_NDP_custom-call.338_0,0x180000,4,1,5,243362
_NDP_custom-call.339_0,0x180000,4,1,5,224755
_NDP_custom-call.340_0,0x180000,2,1,3,84477
_NDP_custom-call.341_0,0x180000,4,1,5,216288
_NDP_custom-call.342_0,0x180000,4,1,5,224153
_NDP_custom-call.343_0,0x180000,4,1,5,225280
_NDP_custom-call.344_0,0x180000,2,1,3,84644
_NDP_custom-call.345_0,0x180000,2,1,3,84593
_NDP_custom-call.346_0,0x180000,4,1,5,225084
_NDP_custom-call.347_0,0x180000,4,1,5,216817
_NDP_custom-call.348_0,0x180000,4,1,5,224976
_NDP_custom-call.349_0,0x6000,2,1,2,3220
_NDP_custom-call.350_0,0x180000,4,1,5,218214
_NDP_custom-call.351_0,0x600,3,1,7,537
_NDP_custom-call.352_0,0x6000,2,1,2,3220
_NDP_custom-call.353_0,0x6000,2,1,2,3222
_NDP_custom-call.354_0,0x6000,2,1,2,3298
_NDP_custom-call.355_0,0x6000,2,1,2,3222
_NDP_custom-call.356_0,0x6000,2,1,2,3220
_NDP_custom-call.357_0,0x6000,2,1,2,3222
_NDP_custom-call.358_0,0x180000,4,1,5,215406
_NDP_custom-call.359_0,0x180000,2,1,3,84529
_NDP_custom-call.360_0,0x6000,2,1,2,3222
_NDP_custom-call.361_0,0x40,3,1,5,361
_NDP_custom-call.362_0,0x180000,4,1,5,225619
_NDP_custom-call.363_0,0x180000,2,1,3,84320
_NDP_custom-call.364_0,0x180000,4,1,5,224583
_NDP_custom-call.365_0,0x180000,4,1,5,220145
_NDP_custom-call.366_0,0x180000,2,1,3,84698
_NDP_custom-call.367_0,0x40,3,1,5,391
_NDP_custom-call.368_0,0x180000,4,1,5,223355
_NDP_custom-call.369_0,0x6000,2,1,2,3220
_NDP_custom-call.370_0,0x6000,2,1,2,3220
_NDP_custom-call.371_0,0x6000,2,1,2,3222
_NDP_custom-call.372_0,0x6000,2,1,2,3221
_NDP_custom-call.373_0,0x6000,2,1,2,3222
_NDP_custom-call.374_0,0x6000,2,1,2,3222
_NDP_custom-call.375_0,0x6000,2,1,2,3222
_NDP_custom-call.376_0,0x6000,2,1,2,3220
_NDP_custom-call.377_0,0x6000,2,1,2,3221
_NDP_custom-call.378_0,0x6000,2,1,2,3222
_NDP_custom-call.379_0,0x6000,2,1,2,3222
_NDP_custom-call.380_0,0x6000,2,1,2,3222
_NDP_custom-call.381_0,0x6000,2,1,2,3222
_NDP_custom-call.382_0,0x6000,2,1,2,3288
_NDP_custom-call.383_0,0x6000,2,1,2,3220
_NDP_custom-call.384_0,0xc00000,5,1,17,0
_NDP_custom-call.385_0,0xc00000,5,1,17,0
_NDP_custom-call.386_0,0x180000,7,1,23,158542
_NDP_custom-call.387_0,0x600000,4,1,26,0
_NDP_custom-call.388_0,0x600000,4,1,26,0
_NDP_custom-call.389_0,0x600000,4,1,26,0
_NDP_custom-call.390_0,0x600000,4,1,15,0
_NDP_custom-call.391_0,0x180000,2,1,11,82959
_NDP_custom-call.392_0,0xc00000,4,1,16,0
_NDP_custom-call.393_0,0x180000,2,1,11,83395
_NDP_custom-call.394_0,0xc00000,5,1,17,0
_NDP_custom-call.395_0,0xc00000,4,1,16,723610
_NDP_custom-call.396_0,0x600000,4,1,15,359140
_NDP_custom-call.397_0,0x180000,2,1,11,80332
_NDP_custom-call.398_0,0xc00000,4,1,16,722473
_NDP_custom-call.399_0,0xc00000,5,1,17,809142
_NDP_custom-call.400_0,0x600000,4,1,15,360213
_NDP_custom-call.401_0,0x180000,2,1,11,83444
_NDP_custom-call.402_0,0x600000,4,1,26,466366
_NDP_custom-call.403_0,0x600000,4,1,26,438775
_NDP_custom-call.404_0,0x180000,2,1,11,82943
_NDP_custom-call.405_0,0x600000,4,1,26,496105
_NDP_custom-call.406_0,0xc00000,4,1,16,722335
_NDP_custom-call.407_0,0xc00000,5,1,17,809393
_NDP_custom-call.408_0,0xc00000,4,1,16,723577
_NDP_custom-call.409_0,0xc00000,5,1,17,809563
_NDP_custom-call.410_0,0xc00000,4,1,16,722099
_NDP_custom-call.411_0,0x180000,2,1,11,82921
_NDP_custom-call.412_0,0x600000,4,1,26,438090
_NDP_custom-call.413_0,0x600000,4,1,15,358916
_NDP_custom-call.414_0,0x480000,36,24,106,6102217
_NDP_custom-call.415_0,0x180000,2,1,11,82671
_NDP_custom-call.416_0,0xc00000,4,1,16,735874
_NDP_custom-call.417_0,0xc00000,5,1,17,787641
_NDP_custom-call.418_0,0x600000,4,1,26,469781
_NDP_custom-call.419_0,0x600000,4,1,15,360470
_NDP_custom-call.420_0,0xc00000,5,1,17,808675
_NDP_custom-call.421_0,0xc00000,4,1,16,720680
_NDP_custom-call.422_0,0x180000,2,1,11,83492
_NDP_custom-call.423_0,0x480000,36,24,106,6103166
_NDP_custom-call.424_0,0xc00000,4,1,16,722921
_NDP_custom-call.425_0,0x600000,4,1,15,359443
_NDP_custom-call.426_0,0x39000,1,1,1,10800
_NDP_custom-call.427_0,0x600000,4,1,15,0
_NDP_custom-call.428_0,0x600000,4,1,15,0
_NDP_custom-call.429_0,0xc00000,5,1,17,0
_NDP_custom-call.430_0,0x600000,4,1,15,0
_NDP_custom-call.431_0,0x600000,4,1,26,0
_NDP_custom-call.432_0,0x180000,2,1,11,82756
_NDP_custom-call.433_0,0xc00000,4,1,16,0
_NDP_custom-call.434_0,0xc00000,5,1,17,0
_NDP_custom-call.435_0,0x180000,2,1,11,83532
_NDP_custom-call.436_0,0xc00000,4,1,16,0
_NDP_custom-call.437_0,0xc00000,5,1,17,0
_NDP_custom-call.438_0,0x120000,1,1,1,53304
_NDP_custom-call.439_0,0xc00000,3,1,15,0
_NDP_custom-call.440_0,0x180000,1,1,2,191194
_NDP_custom-call.441_0,0x180000,1,1,2,191201
_NDP_custom-call.442_0,0x180000,1,1,2,191222
_NDP_custom-call.443_0,0x180000,1,1,2,191156
_NDP_custom-call.444_0,0x180000,1,1,2,191163
_NDP_custom-call.445_0,0x180000,1,1,2,191235
_NDP_custom-call.446_0,0x180000,1,1,2,191080
_NDP_custom-call.447_0,0x120000,1,1,1,53305
_NDP_custom-call.448_0,0x120000,1,1,1,53304
_NDP_custom-call.449_0,0x120000,1,1,1,53304
_NDP_custom-call.450_0,0x120000,1,1,1,53304
_NDP_custom-call.451_0,0x120000,1,1,1,53304
_NDP_custom-call.452_0,0x120000,1,1,1,53310
_NDP_custom-call.453_0,0x120000,1,1,1,53304
_NDP_custom-call.454_0,0x120000,1,1,1,53304
_NDP_custom-call.455_0,0x120000,1,1,1,53305
_NDP_custom-call.456_0,0x120000,1,1,1,53304
_NDP_custom-call.457_0,0x120000,1,1,1,53304
_NDP_custom-call.458_0,0x120000,1,1,1,53304
_NDP_custom-call.459_0,0x120000,1,1,1,53304
_NDP_custom-call.460_0,0x120000,1,1,1,53304
_NDP_custom-call.461_0,0x120000,1,1,1,53304
_NDP_custom-call.462_0,0x120000,1,1,1,53304
_NDP_custom-call.463_0,0x120000,1,1,1,53304
_NDP_custom-call.464_0,0x120000,1,1,1,53304
_NDP_custom-call.465_0,0x120000,1,1,1,53304
_NDP_custom-call.466_0,0x120000,1,1,1,53304
_NDP_custom-call.467_0,0x120000,1,1,1,53304
_NDP_custom-call.468_0,0x120000,1,1,1,53304
_NDP_custom-call.469_0,0x120000,1,1,1,53304
_NDP_custom-call.470_0,0x120000,1,1,1,53304
_NDP_custom-call.471_0,0x120000,1,1,1,53304
_NDP_custom-call.472_0,0x120000,1,1,1,53304
_NDP_custom-call.473_0,0x120000,1,1,1,53304
_NDP_custom-call.474_0,0x120000,1,1,1,53304
_NDP_custom-call.475_0,0x120000,1,1,1,53304
_NDP_custom-call.476_0,0x120000,1,1,1,53304
_NDP_custom-call.477_0,0x180000,1,1,2,191194
_NDP_custom-call.478_0,0x180000,1,1,2,191263
_NDP_custom-call.479_0,0x180000,4,1,18,0
_NDP_custom-call.480_0,0x120000,1,1,1,53304
_NDP_custom-call.481_0,0x120000,1,1,1,53304
