NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call.303_0,6291456,15,5,10,4785359,52
_NDP_custom-call.304_0,6291456,12,4,8,3474373,42
_NDP_custom-call.305_0,1572864,15,5,10,1124779,52
_NDP_custom-call.306_0,6291456,9,3,6,2682016,32
_NDP_custom-call.307_0,1572864,9,3,6,653094,32
_NDP_custom-call.308_0,1572864,6,2,4,419146,22
_NDP_custom-call.309_0,1572864,6,2,4,434671,22
_NDP_custom-call.310_0,24576,2,1,1,3220,9
_NDP_custom-call.311_0,1572864,7,1,3,123110,17
_NDP_custom-call.312_0,32768,34,1,20,18008,82
_NDP_custom-call.313_0,1572864,8,1,4,287687,22
_NDP_custom-call.314_0,1572864,8,1,4,283164,22
_NDP_custom-call.315_0,46881792,28,3,14,19889945,66
_NDP_custom-call.316_0,1572864,8,1,4,286689,22
_NDP_custom-call.317_0,24576,2,1,1,3298,9
_NDP_custom-call.318_0,1572864,8,1,4,287041,22
_NDP_custom-call.319_0,24576,2,1,1,3220,9
_NDP_custom-call.320_0,24576,2,1,1,3221,9
_NDP_custom-call.321_0,24576,2,1,1,3221,9
_NDP_custom-call.322_0,24576,2,1,1,3220,9
_NDP_custom-call.323_0,24576,2,1,1,3220,9
_NDP_custom-call.324_0,24576,2,1,1,3220,9
_NDP_custom-call.325_0,24576,2,1,1,3220,9
_NDP_custom-call.326_0,24576,2,1,1,3220,9
_NDP_custom-call.327_0,24576,2,1,1,3220,9
_NDP_custom-call.328_0,24576,2,1,1,3220,9
_NDP_custom-call.329_0,1572864,8,1,4,298141,22
_NDP_custom-call.330_0,1572864,7,1,3,123560,17
_NDP_custom-call.331_0,1572864,8,1,4,286970,22
_NDP_custom-call.332_0,1572864,8,1,4,287532,22
_NDP_custom-call.333_0,1572864,8,1,4,300418,22
_NDP_custom-call.334_0,1572864,8,1,4,288017,22
_NDP_custom-call.335_0,64,8,1,4,456,23
_NDP_custom-call.336_0,1572864,7,1,3,124108,17
_NDP_custom-call.337_0,1572864,7,1,3,123098,17
_NDP_custom-call.338_0,1572864,8,1,4,301780,22
_NDP_custom-call.339_0,1536,10,1,6,702,28
_NDP_custom-call.340_0,1572864,8,1,4,282871,22
_NDP_custom-call.341_0,1572864,8,1,4,283096,22
_NDP_custom-call.342_0,1572864,7,1,3,123403,17
_NDP_custom-call.343_0,1572864,8,1,4,286328,22
_NDP_custom-call.344_0,1572864,8,1,4,283070,22
_NDP_custom-call.345_0,1572864,7,1,3,123362,17
_NDP_custom-call.346_0,1572864,8,1,4,286630,22
_NDP_custom-call.347_0,1572864,7,1,3,123419,17
_NDP_custom-call.348_0,1572864,8,1,4,282984,22
_NDP_custom-call.349_0,1572864,8,1,4,286618,22
_NDP_custom-call.350_0,24576,2,1,1,3220,9
_NDP_custom-call.351_0,1572864,8,1,4,284977,22
_NDP_custom-call.352_0,24576,2,1,1,3222,9
_NDP_custom-call.353_0,24576,2,1,1,3220,9
_NDP_custom-call.354_0,24576,2,1,1,3222,9
_NDP_custom-call.355_0,24576,2,1,1,3298,9
_NDP_custom-call.356_0,24576,2,1,1,3222,9
_NDP_custom-call.357_0,24576,2,1,1,3220,9
