NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call.303_0,0x600000,6,5,7,0,40
_NDP_custom-call.304_0,0x180000,6,5,7,0,40
_NDP_custom-call.305_0,0x180000,6,5,7,0,40
_NDP_custom-call.306_0,0x180000,3,2,4,400409,19
_NDP_custom-call.307_0,0x180000,3,2,4,414312,19
_NDP_custom-call.308_0,0x180000,3,2,4,400654,19
_NDP_custom-call.309_0,0x180000,4,1,4,252792,18
_NDP_custom-call.310_0,0x180000,4,1,4,253708,18
_NDP_custom-call.311_0,0x8000,8,1,13,9803,49
_NDP_custom-call.312_0,0x180000,2,1,2,84981,11
_NDP_custom-call.313_0,0x180000,2,1,2,85358,11
_NDP_custom-call.314_0,0x2cb5c00,8,3,12,0,44
_NDP_custom-call.315_0,0x180000,4,1,4,253341,18
_NDP_custom-call.316_0,0x180000,4,1,4,253446,18
_NDP_custom-call.317_0,0x6000,2,1,1,3298,9
_NDP_custom-call.318_0,0x6000,2,1,1,3220,9
_NDP_custom-call.319_0,0x6000,2,1,1,3220,9
_NDP_custom-call.320_0,0x6000,2,1,1,3220,9
_NDP_custom-call.321_0,0x6000,2,1,1,3221,9
_NDP_custom-call.322_0,0x6000,2,1,1,3220,9
_NDP_custom-call.323_0,0x6000,2,1,1,3220,9
_NDP_custom-call.324_0,0x6000,2,1,1,3220,9
_NDP_custom-call.325_0,0x6000,2,1,1,3220,9
_NDP_custom-call.326_0,0x6000,2,1,1,3220,9
_NDP_custom-call.327_0,0x6000,2,1,1,3220,9
_NDP_custom-call.328_0,0x6000,2,1,1,3220,9
_NDP_custom-call.329_0,0x6000,2,1,1,3222,9
_NDP_custom-call.330_0,0x180000,4,1,4,260301,18
_NDP_custom-call.331_0,0x180000,4,1,4,281270,18
_NDP_custom-call.332_0,0x180000,2,1,2,85341,11
_NDP_custom-call.333_0,0x180000,2,1,2,85331,11
_NDP_custom-call.334_0,0x180000,4,1,4,261350,18
_NDP_custom-call.335_0,0x180000,4,1,4,279703,18
_NDP_custom-call.336_0,0x180000,4,1,4,254769,18
_NDP_custom-call.337_0,0x180000,2,1,2,85079,11
_NDP_custom-call.338_0,0x180000,4,1,4,277982,18
_NDP_custom-call.339_0,0x180000,4,1,4,261505,18
_NDP_custom-call.340_0,0x180000,2,1,2,85236,11
_NDP_custom-call.341_0,0x180000,4,1,4,254415,18
_NDP_custom-call.342_0,0x180000,4,1,4,261080,18
_NDP_custom-call.343_0,0x180000,4,1,4,260871,18
_NDP_custom-call.344_0,0x180000,2,1,2,85072,11
_NDP_custom-call.345_0,0x180000,2,1,2,85458,11
_NDP_custom-call.346_0,0x180000,4,1,4,260429,18
_NDP_custom-call.347_0,0x180000,4,1,4,253035,18
_NDP_custom-call.348_0,0x180000,4,1,4,261338,18
_NDP_custom-call.349_0,0x6000,2,1,1,3220,9
_NDP_custom-call.350_0,0x180000,4,1,4,255878,18
_NDP_custom-call.351_0,0x600,3,1,5,508,20
_NDP_custom-call.352_0,0x6000,2,1,1,3220,9
_NDP_custom-call.353_0,0x6000,2,1,1,3222,9
_NDP_custom-call.354_0,0x6000,2,1,1,3296,9
_NDP_custom-call.355_0,0x6000,2,1,1,3222,9
_NDP_custom-call.356_0,0x6000,2,1,1,3220,9
_NDP_custom-call.357_0,0x6000,2,1,1,3222,9
_NDP_custom-call.358_0,0x180000,4,1,4,252415,18
_NDP_custom-call.359_0,0x180000,2,1,2,85324,11
_NDP_custom-call.360_0,0x6000,2,1,1,3222,9
_NDP_custom-call.361_0,0x40,3,1,4,388,18
_NDP_custom-call.362_0,0x180000,4,1,4,260501,18
_NDP_custom-call.363_0,0x180000,2,1,2,85351,11
_NDP_custom-call.364_0,0x180000,4,1,4,261660,18
_NDP_custom-call.365_0,0x180000,4,1,4,256337,18
_NDP_custom-call.366_0,0x180000,2,1,2,85334,11
_NDP_custom-call.367_0,0x40,4,1,5,443,20
_NDP_custom-call.368_0,0x180000,4,1,4,260791,18
_NDP_custom-call.369_0,0x6000,2,1,1,3220,9
_NDP_custom-call.370_0,0x6000,2,1,1,3220,9
_NDP_custom-call.371_0,0x6000,2,1,1,3222,9
_NDP_custom-call.372_0,0x6000,2,1,1,3220,9
_NDP_custom-call.373_0,0x6000,2,1,1,3222,9
_NDP_custom-call.374_0,0x6000,2,1,1,3222,9
_NDP_custom-call.375_0,0x6000,2,1,1,3222,9
_NDP_custom-call.376_0,0x6000,2,1,1,3220,9
_NDP_custom-call.377_0,0x6000,2,1,1,3220,9
_NDP_custom-call.378_0,0x6000,2,1,1,3222,9
_NDP_custom-call.379_0,0x6000,2,1,1,3222,9
_NDP_custom-call.380_0,0x6000,2,1,1,3222,9
_NDP_custom-call.381_0,0x6000,2,1,1,3222,9
_NDP_custom-call.382_0,0x6000,2,1,1,3288,9
_NDP_custom-call.383_0,0x6000,2,1,1,3220,9
_NDP_custom-call.384_0,0xc00000,6,1,15,0,36
_NDP_custom-call.385_0,0xc00000,6,1,15,0,36
_NDP_custom-call.386_0,0x180000,7,1,20,353413,47
_NDP_custom-call.387_0,0x600000,4,1,15,0,42
_NDP_custom-call.388_0,0x600000,4,1,15,0,42
_NDP_custom-call.389_0,0x600000,4,1,15,0,42
_NDP_custom-call.390_0,0x600000,4,1,14,0,30
_NDP_custom-call.391_0,0x180000,3,1,11,89754,21
_NDP_custom-call.392_0,0xc00000,5,1,14,0,31
