NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,0x20,3,1,11,423,19
_NDP_custom-call.15_0,0x200,2,1,4,371,12
_NDP_custom-call.16_0,0x80000,3,2,13,81123,24
_NDP_custom-call.17_0,0x400,3,2,34,666,45
_NDP_custom-call.18_0,0x40000,3,2,13,41195,24
_NDP_custom-call.19_0,0x4000,1,1,2,1047,7
_NDP_custom-call.20_0,0x4000,1,1,0,1044,5
_NDP_custom-call.21_0,0x4000,1,1,0,1044,5
_NDP_custom-call.22_0,0x400,3,0,438,2008,460
_NDP_custom-call.23_0,0x20,4,1,13,447,21
_NDP_custom-call.24_0,0x20,2,1,4,397,11
_NDP_custom-call.25_0,0x20,2,1,1,342,7
_NDP_custom-call.26_0,0x40000,1,1,2,12089,7
_NDP_custom-call.27_0,0x80000,3,2,11,76906,22
_NDP_custom-call.28_0,0x40000,1,1,0,12087,5
_NDP_custom-call.29_0,0x80000,1,1,0,23863,5
