NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,5,1,11,NOT FOUND
_NDP_custom-call.15_0,512,6,1,4,406,19
_NDP_custom-call.16_0,524288,7,2,13,107642,31
_NDP_custom-call.17_0,1024,74,2,34,1772,165
_NDP_custom-call.18_0,262144,7,2,13,52853,31
_NDP_custom-call.19_0,16384,2,1,2,1094,9
_NDP_custom-call.20_0,16384,2,1,0,1101,7
_NDP_custom-call.21_0,16384,2,1,0,1101,7
_NDP_custom-call.22_0,1024,1145,0,438,NOT FOUND
_NDP_custom-call.23_0,32,9,1,13,554,31
_NDP_custom-call.24_0,32,7,1,5,533,21
_NDP_custom-call.25_0,32,3,1,1,364,9
_NDP_custom-call.26_0,262144,2,1,2,14658,9
_NDP_custom-call.27_0,524288,6,2,11,89988,27
_NDP_custom-call.28_0,262144,2,1,0,14449,7
_NDP_custom-call.29_0,524288,2,1,0,27802,7
