NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,2,1,1,368,8
_NDP_custom-call.1_0,32,2,1,1,357,8
_NDP_custom-call.326_0,49152,3,1,1,2796,10
_NDP_custom-call.327_0,9216,3,1,1,828,10
_NDP_custom-call.328_0,6912,3,1,1,720,10
_NDP_custom-call.329_0,9216,3,1,1,828,10
_NDP_custom-call.330_0,12288,3,1,1,966,10
_NDP_custom-call.331_0,12288,3,1,1,999,10
_NDP_custom-call.332_0,12288,3,1,1,966,10
_NDP_custom-call.333_0,12288,3,1,1,966,10
_NDP_custom-call.334_0,12288,3,1,1,966,10
_NDP_custom-call.335_0,24576,3,1,1,1617,10
_NDP_custom-call.336_0,49152,3,1,1,2841,10
_NDP_custom-call.337_0,6912,3,1,1,720,10
_NDP_custom-call.338_0,49152,3,1,1,2742,10
_NDP_custom-call.339_0,49152,3,1,1,2779,10
_NDP_custom-call.340_0,49152,3,1,1,2745,10
_NDP_custom-call.341_0,49152,3,1,1,2786,10
_NDP_custom-call.342_0,73728,3,1,1,4154,10
_NDP_custom-call.343_0,110592,3,1,1,6010,10
_NDP_custom-call.344_0,110592,3,1,1,5996,10
_NDP_custom-call.345_0,110592,3,1,1,6044,10
_NDP_custom-call.346_0,110592,3,1,1,6007,10
_NDP_custom-call.347_0,110592,3,1,1,5986,10
_NDP_custom-call.348_0,6912,3,1,1,751,10
_NDP_custom-call.349_0,17280,3,1,1,1199,10
_NDP_custom-call.350_0,129024,3,1,2,16575,12
_NDP_custom-call.351_0,17280,3,1,1,1194,10
_NDP_custom-call.352_0,17280,3,1,1,1195,10
_NDP_custom-call.353_0,10368,3,1,1,882,10
_NDP_custom-call.354_0,10368,3,1,1,882,10
_NDP_custom-call.355_0,10368,3,1,1,882,10
_NDP_custom-call.356_0,6912,3,1,1,720,10
_NDP_custom-call.357_0,6912,3,1,1,720,10
_NDP_custom-call.358_0,6912,3,1,1,720,10
_NDP_custom-call.359_0,49152,3,1,1,2741,10
_NDP_custom-call.360_0,3456,3,1,1,536,10
_NDP_custom-call.361_0,3456,3,1,1,537,10
_NDP_custom-call.362_0,3456,3,1,1,536,10
_NDP_custom-call.363_0,2592,3,1,1,480,10
_NDP_custom-call.364_0,2592,3,1,1,480,10
_NDP_custom-call.365_0,1728,3,1,1,443,10
_NDP_custom-call.366_0,576,3,1,1,391,10
_NDP_custom-call.367_0,1024,3,1,1,385,10
_NDP_custom-call.368_0,3072,3,1,1,490,10
_NDP_custom-call.369_0,6144,3,1,1,695,10
_NDP_custom-call.370_0,128,7,1,8,554,25
_NDP_custom-call.371_0,110592,2,1,1,6146,8
_NDP_custom-call.372_0,110592,2,1,1,5826,8
_NDP_custom-call.373_0,110592,2,1,1,5865,8
_NDP_custom-call.374_0,73728,2,1,1,4012,8
_NDP_custom-call.375_0,49152,2,1,1,2798,8
_NDP_custom-call.376_0,49152,2,1,1,2721,8
_NDP_custom-call.377_0,49152,2,1,1,2693,8
_NDP_custom-call.378_0,49152,2,1,1,2700,8
_NDP_custom-call.379_0,49152,2,1,1,2714,8
_NDP_custom-call.380_0,51380224,18,2,23,NOT FOUND
_NDP_custom-call.381_0,49152,2,1,1,2686,8
_NDP_custom-call.382_0,49152,2,1,1,2691,8
_NDP_custom-call.383_0,24576,2,1,1,1560,8
_NDP_custom-call.384_0,12288,2,1,1,916,8
_NDP_custom-call.385_0,12288,2,1,1,916,8
_NDP_custom-call.386_0,128,4,1,3,368,15
_NDP_custom-call.387_0,12288,2,1,1,916,8
_NDP_custom-call.388_0,12288,2,1,1,935,8
_NDP_custom-call.389_0,12288,2,1,1,937,8
_NDP_custom-call.390_0,9216,2,1,1,778,8
_NDP_custom-call.391_0,6912,2,1,1,671,8
_NDP_custom-call.392_0,9216,2,1,1,778,8
_NDP_custom-call.393_0,6912,2,1,1,671,8
_NDP_custom-call.394_0,6144,2,1,1,619,8
_NDP_custom-call.395_0,3072,2,1,1,478,8
_NDP_custom-call.396_0,1024,2,1,1,377,8
_NDP_custom-call.397_0,32,3,1,1,423,9
_NDP_custom-call.398_0,128,2,1,1,354,9
_NDP_custom-call.399_0,110592,2,1,1,5999,8
_NDP_custom-call.400_0,110592,2,1,1,5808,8
_NDP_custom-call.401_0,184320,2,1,1,9907,8
_NDP_custom-call.402_0,184320,3,1,1,9941,10
_NDP_custom-call.403_0,307200,3,1,1,16541,10
_NDP_custom-call.404_0,307200,2,1,1,16229,8
_NDP_custom-call.405_0,129024,6,1,4,21772,20
_NDP_custom-call.406_0,614400,2,1,1,32804,8
_NDP_custom-call.407_0,819200,2,1,1,43424,8
_NDP_custom-call.408_0,307200,2,1,1,16151,8
_NDP_custom-call.409_0,307200,2,1,1,16995,8
_NDP_custom-call.410_0,307200,2,1,1,16146,8
_NDP_custom-call.411_0,307200,2,1,1,16408,8
_NDP_custom-call.412_0,307200,3,1,1,16584,10
_NDP_custom-call.413_0,307200,3,1,1,16539,10
_NDP_custom-call.414_0,307200,3,1,1,16628,10
_NDP_custom-call.415_0,129024,3,1,1,7017,10
_NDP_custom-call.416_0,163840,3,1,2,9089,11
_NDP_custom-call.417_0,307200,3,1,1,16625,10
_NDP_custom-call.418_0,614400,3,1,1,33124,10
_NDP_custom-call.419_0,819200,3,1,1,46159,10
_NDP_custom-call.420_0,2580480,2,1,1,137579,8
_NDP_custom-call.421_0,819200,32,3,15,401883,75
_NDP_custom-call.422_0,614400,32,3,15,247652,75
_NDP_custom-call.423_0,307200,60,6,28,289912,138
