NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,2,1,1,368,8
_NDP_custom-call.1_0,32,2,1,1,358,8
_NDP_custom-call.326_0,49152,2,1,1,2743,9
_NDP_custom-call.327_0,9216,2,1,1,779,9
_NDP_custom-call.328_0,6912,2,1,1,673,9
_NDP_custom-call.329_0,9216,2,1,1,780,9
_NDP_custom-call.330_0,12288,2,1,1,918,9
_NDP_custom-call.331_0,12288,2,1,1,937,9
_NDP_custom-call.332_0,12288,2,1,1,917,9
_NDP_custom-call.333_0,12288,2,1,1,918,9
_NDP_custom-call.334_0,12288,2,1,1,918,9
_NDP_custom-call.335_0,24576,2,1,1,1520,9
_NDP_custom-call.336_0,49152,2,1,1,2799,9
_NDP_custom-call.337_0,6912,2,1,1,674,9
_NDP_custom-call.338_0,49152,2,1,1,2762,9
_NDP_custom-call.339_0,49152,2,1,1,2717,9
_NDP_custom-call.340_0,49152,2,1,1,2716,9
_NDP_custom-call.341_0,49152,2,1,1,2744,9
_NDP_custom-call.342_0,73728,2,1,1,4142,9
_NDP_custom-call.343_0,110592,2,1,1,5929,9
_NDP_custom-call.344_0,110592,2,1,1,5964,9
_NDP_custom-call.345_0,110592,2,1,1,5881,9
_NDP_custom-call.346_0,110592,2,1,1,5937,9
_NDP_custom-call.347_0,110592,2,1,1,5937,9
_NDP_custom-call.348_0,6912,2,1,1,691,9
_NDP_custom-call.349_0,17280,2,1,1,1146,9
_NDP_custom-call.350_0,129024,2,1,2,16008,11
_NDP_custom-call.351_0,17280,2,1,1,1146,9
_NDP_custom-call.352_0,17280,2,1,1,1146,9
_NDP_custom-call.353_0,10368,2,1,1,835,9
_NDP_custom-call.354_0,10368,2,1,1,835,9
_NDP_custom-call.355_0,10368,2,1,1,835,9
_NDP_custom-call.356_0,6912,2,1,1,674,9
_NDP_custom-call.357_0,6912,2,1,1,674,9
_NDP_custom-call.358_0,6912,2,1,1,674,9
_NDP_custom-call.359_0,49152,2,1,1,2731,9
_NDP_custom-call.360_0,3456,2,1,1,502,9
_NDP_custom-call.361_0,3456,2,1,1,502,9
_NDP_custom-call.362_0,3456,2,1,1,502,9
_NDP_custom-call.363_0,2592,2,1,1,454,9
_NDP_custom-call.364_0,2592,2,1,1,454,9
_NDP_custom-call.365_0,1728,2,1,1,428,9
_NDP_custom-call.366_0,576,2,1,1,377,9
_NDP_custom-call.367_0,1024,2,1,1,377,9
_NDP_custom-call.368_0,3072,2,1,1,463,9
_NDP_custom-call.369_0,6144,2,1,1,636,9
_NDP_custom-call.370_0,128,3,1,8,511,21
_NDP_custom-call.371_0,110592,2,1,1,6103,8
_NDP_custom-call.372_0,110592,2,1,1,5906,8
_NDP_custom-call.373_0,110592,2,1,1,5872,8
_NDP_custom-call.374_0,73728,2,1,1,3988,8
_NDP_custom-call.375_0,49152,2,1,1,2800,8
_NDP_custom-call.376_0,49152,2,1,1,2721,8
_NDP_custom-call.377_0,49152,2,1,1,2693,8
_NDP_custom-call.378_0,49152,2,1,1,2714,8
_NDP_custom-call.379_0,49152,2,1,1,2714,8
_NDP_custom-call.380_0,51380224,5,2,22,18314465,47
_NDP_custom-call.381_0,49152,2,1,1,2686,8
_NDP_custom-call.382_0,49152,2,1,1,2710,8
_NDP_custom-call.383_0,24576,2,1,1,1560,8
_NDP_custom-call.384_0,12288,2,1,1,916,8
_NDP_custom-call.385_0,12288,2,1,1,916,8
_NDP_custom-call.386_0,128,2,1,3,347,13
_NDP_custom-call.387_0,12288,2,1,1,916,8
_NDP_custom-call.388_0,12288,2,1,1,935,8
_NDP_custom-call.389_0,12288,2,1,1,937,8
_NDP_custom-call.390_0,9216,2,1,1,777,8
_NDP_custom-call.391_0,6912,2,1,1,671,8
_NDP_custom-call.392_0,9216,2,1,1,778,8
_NDP_custom-call.393_0,6912,2,1,1,671,8
_NDP_custom-call.394_0,6144,2,1,1,618,8
_NDP_custom-call.395_0,3072,2,1,1,477,8
_NDP_custom-call.396_0,1024,2,1,1,376,8
_NDP_custom-call.397_0,32,2,1,1,401,8
_NDP_custom-call.398_0,128,2,1,1,354,9
_NDP_custom-call.399_0,110592,2,1,1,5868,8
_NDP_custom-call.400_0,110592,2,1,1,5792,8
_NDP_custom-call.401_0,184320,2,1,1,9779,8
_NDP_custom-call.402_0,184320,2,1,1,9711,9
_NDP_custom-call.403_0,307200,2,1,1,16431,9
_NDP_custom-call.404_0,307200,2,1,1,16158,8
_NDP_custom-call.405_0,129024,3,1,4,19962,17
_NDP_custom-call.406_0,614400,2,1,1,32711,8
_NDP_custom-call.407_0,819200,2,1,1,43120,8
_NDP_custom-call.408_0,307200,2,1,1,16118,8
_NDP_custom-call.409_0,307200,2,1,1,16788,8
_NDP_custom-call.410_0,307200,2,1,1,16032,8
_NDP_custom-call.411_0,307200,2,1,1,16370,8
_NDP_custom-call.412_0,307200,2,1,1,16232,9
_NDP_custom-call.413_0,307200,2,1,1,16280,9
_NDP_custom-call.414_0,307200,2,1,1,16432,9
_NDP_custom-call.415_0,129024,2,1,1,6893,9
_NDP_custom-call.416_0,163840,2,1,2,8837,10
_NDP_custom-call.417_0,307200,2,1,1,16246,9
_NDP_custom-call.418_0,614400,2,1,1,32563,9
_NDP_custom-call.419_0,819200,2,1,1,44638,9
_NDP_custom-call.420_0,2580480,2,1,1,136156,8
_NDP_custom-call.421_0,819200,7,3,10,205988,45
_NDP_custom-call.422_0,614400,7,3,10,138455,45
_NDP_custom-call.423_0,307200,11,6,14,138471,75
_NDP_custom-call.424_0,307200,15,9,18,213398,105
_NDP_custom-call.425_0,184320,7,3,10,46711,45
_NDP_custom-call.426_0,24576,7,3,10,7410,45
_NDP_custom-call.427_0,9216,7,3,10,2864,45
_NDP_custom-call.428_0,73728,7,3,10,17393,45
_NDP_custom-call.429_0,9216,7,3,10,2330,45
_NDP_custom-call.430_0,110592,11,6,14,51804,75
_NDP_custom-call.431_0,110592,15,9,18,77406,105
_NDP_custom-call.432_0,41472,11,6,14,19292,75
_NDP_custom-call.433_0,2016,7,3,11,947,44
_NDP_custom-call.434_0,12288,11,6,14,5833,75
_NDP_custom-call.435_0,276480,15,9,18,180861,105
_NDP_custom-call.436_0,165888,15,9,18,113103,105
_NDP_custom-call.437_0,2560,15,8,23,1627,100
_NDP_custom-call.438_0,640,15,8,23,1123,100
_NDP_custom-call.439_0,2580480,7,3,10,586471,42
