NAME,LINES,SHAPE,CYCLE
_NDP_custom-call.100,8,0x300000,NOT FOUND
_NDP_custom-call.101,8,0x300000,NOT FOUND
_NDP_custom-call.102,8,0x300000,NOT FOUND
_NDP_custom-call.103,8,0x300000,NOT FOUND
_NDP_custom-call.104,7,0x300000,NOT FOUND
_NDP_custom-call.105,7,0x300000,NOT FOUND
_NDP_custom-call.106,7,0x300000,NOT FOUND
_NDP_custom-call.107,7,0x300000,NOT FOUND
_NDP_custom-call.108,7,0x300000,NOT FOUND
_NDP_custom-call.109,7,0x300000,NOT FOUND
_NDP_custom-call.110,36,0x100000,NOT FOUND
_NDP_custom-call.111,6,0x200000,NOT FOUND
_NDP_custom-call.112,6,0x200000,NOT FOUND
_NDP_custom-call.113,6,0x200000,NOT FOUND
_NDP_custom-call.114,6,0x200000,NOT FOUND
_NDP_custom-call.115,6,0x200000,NOT FOUND
_NDP_custom-call.116,6,0x200000,NOT FOUND
_NDP_custom-call.117,6,0x200000,NOT FOUND
_NDP_custom-call.118,6,0x200000,NOT FOUND
_NDP_custom-call.119,6,0x200000,NOT FOUND
_NDP_custom-call.120,6,0x200000,NOT FOUND
_NDP_custom-call.121,6,0x200000,NOT FOUND
_NDP_custom-call.122,6,0x200000,NOT FOUND
_NDP_custom-call.123,29,0x72000,NOT FOUND
_NDP_custom-call.124,14,0x72000,NOT FOUND
_NDP_custom-call.126,194,0x800,NOT FOUND
_NDP_custom-call.127,194,0x800,NOT FOUND
_NDP_custom-call.128,193,0x800,NOT FOUND
_NDP_custom-call.129,190,0x800,NOT FOUND
_NDP_custom-call.131,35,0x800,NOT FOUND
_NDP_custom-call.132,67,0x1c80,NOT FOUND
_NDP_custom-call.133,15,0x800,NOT FOUND
_NDP_custom-call.134,28,0x1e0,NOT FOUND
_NDP_custom-call.135,9,0x800,NOT FOUND
_NDP_custom-call.136,36,0x20,NOT FOUND
_NDP_custom-call.137,36,0x20,NOT FOUND
_NDP_custom-call.139,11,0x60,NOT FOUND
_NDP_custom-call.140,74,0x2000,NOT FOUND
_NDP_custom-call.141,33,0xc000,NOT FOUND
_NDP_custom-call.142,12,0x60,NOT FOUND
_NDP_custom-call.87,44,0x300000,NOT FOUND
_NDP_custom-call.89,26,0x300000,NOT FOUND
_NDP_custom-call.90,21,0x300000,NOT FOUND
_NDP_custom-call.91,12,0x300000,NOT FOUND
_NDP_custom-call.92,15,0x300000,NOT FOUND
_NDP_custom-call.93,15,0x300000,NOT FOUND
_NDP_custom-call.94,15,0x300000,NOT FOUND
_NDP_custom-call.95,8,0x300000,NOT FOUND
_NDP_custom-call.96,8,0x300000,NOT FOUND
_NDP_custom-call.97,8,0x300000,NOT FOUND
_NDP_custom-call.98,8,0x300000,NOT FOUND
_NDP_custom-call.99,8,0x300000,NOT FOUND
