NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,1,1,1,335,6
_NDP_custom-call.133_0,3211264,6,5,10,1928704,34
_NDP_custom-call.134_0,1605632,6,5,10,971609,34
_NDP_custom-call.135_0,32,2,1,1,399,7
_NDP_custom-call.136_0,64512,3,2,3,9689,14
_NDP_custom-call.137_0,73728,1,1,1,3623,6
_NDP_custom-call.138_0,73728,1,1,1,3623,6
_NDP_custom-call.139_0,73728,1,1,1,3623,6
_NDP_custom-call.140_0,73728,1,1,1,3624,6
_NDP_custom-call.141_0,147456,1,1,1,6937,6
_NDP_custom-call.142_0,16384,1,1,1,1047,6
_NDP_custom-call.143_0,65536,1,1,1,3253,6
_NDP_custom-call.144_0,6422528,9,1,29,992388,42
_NDP_custom-call.145_0,32768,1,1,2,1786,7
_NDP_custom-call.146_0,64512,1,1,1,3209,6
_NDP_custom-call.147_0,32,2,1,1,342,7
_NDP_custom-call.148_0,64,3,1,8,473,17
_NDP_custom-call.149_0,6422528,6,1,16,431428,26
_NDP_custom-call.150_0,589824,1,1,1,26809,6
_NDP_custom-call.151_0,6422528,9,1,32,1123465,46
_NDP_custom-call.152_0,6422528,6,2,19,1911161,34
_NDP_custom-call.153_0,1179648,1,1,1,53304,6
_NDP_custom-call.154_0,1179648,1,1,1,53304,6
_NDP_custom-call.155_0,1179648,1,1,1,53304,6
_NDP_custom-call.156_0,262144,1,1,1,12089,6
_NDP_custom-call.157_0,6422528,7,1,22,638759,34
_NDP_custom-call.158_0,3211264,13,1,31,380582,48
_NDP_custom-call.159_0,1605632,13,1,31,254698,48
_NDP_custom-call.160_0,1605632,10,1,33,234625,48
_NDP_custom-call.161_0,1605632,11,1,40,269471,56
_NDP_custom-call.162_0,6422528,6,2,19,1965517,34
_NDP_custom-call.163_0,6422528,8,1,32,1242562,45
_NDP_custom-call.164_0,294912,1,1,1,13561,6
_NDP_custom-call.165_0,12845056,3,1,11,699150,18
_NDP_custom-call.166_0,294912,1,1,1,13561,6
_NDP_custom-call.167_0,294912,1,1,1,13561,6
_NDP_custom-call.168_0,4718592,15,9,40,2287926,67
_NDP_custom-call.169_0,1032192,1,1,1,46680,6
_NDP_custom-call.170_0,2359296,1,1,1,112086,6
_NDP_custom-call.171_0,2359296,7,3,14,381003,27
_NDP_custom-call.172_0,4718592,1,1,1,232849,6
_NDP_custom-call.173_0,4718592,1,1,1,215145,6
_NDP_custom-call.174_0,4718592,1,1,1,220988,6
_NDP_custom-call.175_0,6422528,6,5,10,3891926,34
_NDP_custom-call.176_0,1179648,15,9,40,571805,67
_NDP_custom-call.177_0,1032192,7,3,14,166627,27
_NDP_custom-call.178_0,2016,7,3,15,674,28
