NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,1,1,1,335,6
_NDP_custom-call.133_0,3211264,6,5,10,1928705,34
_NDP_custom-call.134_0,1605632,6,5,10,971668,34
_NDP_custom-call.135_0,32,2,1,1,399,7
_NDP_custom-call.136_0,64512,4,2,3,9874,15
_NDP_custom-call.137_0,73728,1,1,1,3622,6
_NDP_custom-call.138_0,73728,1,1,1,3623,6
_NDP_custom-call.139_0,73728,1,1,1,3623,6
_NDP_custom-call.140_0,73728,1,1,1,3625,6
_NDP_custom-call.141_0,147456,1,1,1,6937,6
_NDP_custom-call.142_0,16384,1,1,1,1047,6
_NDP_custom-call.143_0,65536,1,1,1,3253,6
_NDP_custom-call.144_0,6422528,16,1,31,1419133,51
_NDP_custom-call.145_0,32768,1,1,2,1786,7
_NDP_custom-call.146_0,64512,1,1,1,3209,6
_NDP_custom-call.147_0,32,2,1,1,342,7
_NDP_custom-call.148_0,64,3,1,8,473,17
_NDP_custom-call.149_0,6422528,9,1,17,573651,30
_NDP_custom-call.150_0,589824,1,1,1,26808,6
_NDP_custom-call.151_0,6422528,14,1,33,1237825,52
_NDP_custom-call.152_0,6422528,7,2,19,1957877,35
_NDP_custom-call.153_0,1179648,1,1,1,53303,6
_NDP_custom-call.154_0,1179648,1,1,1,53303,6
_NDP_custom-call.155_0,1179648,1,1,1,53304,6
_NDP_custom-call.156_0,262144,1,1,1,12088,6
_NDP_custom-call.157_0,6422528,13,1,23,979282,41
_NDP_custom-call.158_0,3211264,16,1,31,429796,51
_NDP_custom-call.159_0,1605632,16,1,31,297977,51
_NDP_custom-call.160_0,1605632,14,1,33,303633,52
_NDP_custom-call.161_0,1605632,18,1,40,369965,63
_NDP_custom-call.162_0,6422528,7,2,19,2010505,35
_NDP_custom-call.163_0,6422528,14,1,33,1927728,52
_NDP_custom-call.164_0,294912,1,1,1,13561,6
_NDP_custom-call.165_0,12845056,3,1,11,699358,18
_NDP_custom-call.166_0,294912,1,1,1,13560,6
_NDP_custom-call.167_0,294912,1,1,1,13561,6
_NDP_custom-call.168_0,4718592,28,9,41,2292344,81
_NDP_custom-call.169_0,1032192,1,1,1,46680,6
_NDP_custom-call.170_0,2359296,1,1,1,112106,6
_NDP_custom-call.171_0,2359296,10,3,15,382058,31
_NDP_custom-call.172_0,4718592,1,1,1,212301,6
_NDP_custom-call.173_0,4718592,1,1,1,213867,6
_NDP_custom-call.174_0,4718592,1,1,1,214171,6
_NDP_custom-call.175_0,6422528,6,5,10,3891926,34
_NDP_custom-call.176_0,1179648,28,9,41,573016,81
_NDP_custom-call.177_0,1032192,10,3,15,167104,31
_NDP_custom-call.178_0,2016,10,3,16,704,32
