NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,2,1,1,368,8
_NDP_custom-call.133_0,3211264,15,5,10,2241705,52
_NDP_custom-call.134_0,1605632,15,5,10,1138147,52
_NDP_custom-call.135_0,32,3,1,1,423,9
_NDP_custom-call.136_0,64512,6,2,3,10424,19
_NDP_custom-call.137_0,73728,2,1,1,3943,8
_NDP_custom-call.138_0,73728,2,1,1,4119,8
_NDP_custom-call.139_0,73728,2,1,1,3985,8
_NDP_custom-call.140_0,73728,2,1,1,3974,8
_NDP_custom-call.141_0,147456,2,1,1,8059,8
_NDP_custom-call.142_0,16384,2,1,1,1100,8
_NDP_custom-call.143_0,65536,2,1,1,3551,8
_NDP_custom-call.144_0,6422528,52,1,31,5634749,123
_NDP_custom-call.145_0,32768,3,1,2,1965,11
_NDP_custom-call.146_0,64512,3,1,1,3543,10
_NDP_custom-call.147_0,32,3,1,1,364,9
_NDP_custom-call.148_0,64,7,1,8,530,25
_NDP_custom-call.149_0,6422528,28,1,17,2619167,68
_NDP_custom-call.150_0,589824,2,1,1,31249,8
_NDP_custom-call.151_0,6422528,42,1,33,4140257,108
_NDP_custom-call.152_0,6422528,19,2,19,3033658,59
_NDP_custom-call.153_0,1179648,2,1,1,62968,8
_NDP_custom-call.154_0,1179648,2,1,1,63129,8
_NDP_custom-call.155_0,1179648,2,1,1,62915,8
_NDP_custom-call.156_0,262144,2,1,1,13748,8
_NDP_custom-call.157_0,6422528,39,1,23,3616193,93
_NDP_custom-call.158_0,3211264,52,1,31,1977685,123
_NDP_custom-call.159_0,1605632,52,1,31,1310458,123
_NDP_custom-call.160_0,1605632,42,1,33,1079946,108
_NDP_custom-call.161_0,1605632,53,1,40,1320923,133
_NDP_custom-call.162_0,6422528,19,2,19,3114545,59
_NDP_custom-call.163_0,6422528,42,1,33,5967988,108
_NDP_custom-call.164_0,294912,2,1,1,15711,8
_NDP_custom-call.165_0,12845056,7,1,11,1213222,26
_NDP_custom-call.166_0,294912,2,1,1,15439,8
_NDP_custom-call.167_0,294912,2,1,1,15931,8
_NDP_custom-call.168_0,4718592,88,9,41,NOT FOUND
_NDP_custom-call.169_0,1032192,2,1,1,54619,8
_NDP_custom-call.170_0,2359296,2,1,1,125069,8
_NDP_custom-call.171_0,2359296,32,3,15,1071884,75
_NDP_custom-call.172_0,4718592,2,1,1,251783,8
_NDP_custom-call.173_0,4718592,2,1,1,250526,8
_NDP_custom-call.174_0,4718592,2,1,1,250396,8
_NDP_custom-call.175_0,6422528,15,5,10,4529079,52
_NDP_custom-call.176_0,1179648,88,9,41,1908739,201
_NDP_custom-call.177_0,1032192,29,3,15,439471,69
_NDP_custom-call.178_0,2016,30,3,16,1254,72
