NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,2,1,1,368,8
_NDP_custom-call.133_0,3211264,6,5,7,2072032,40
_NDP_custom-call.134_0,1605632,6,5,7,1046421,40
_NDP_custom-call.135_0,32,3,1,1,423,9
_NDP_custom-call.136_0,64512,3,2,3,9788,16
_NDP_custom-call.137_0,73728,2,1,1,3893,8
_NDP_custom-call.138_0,73728,2,1,1,4170,8
_NDP_custom-call.139_0,73728,2,1,1,4019,8
_NDP_custom-call.140_0,73728,2,1,1,3947,8
_NDP_custom-call.141_0,147456,2,1,1,8025,8
_NDP_custom-call.142_0,16384,2,1,1,1101,8
_NDP_custom-call.143_0,65536,2,1,1,3536,8
_NDP_custom-call.144_0,6422528,9,1,17,2940613,66
_NDP_custom-call.145_0,32768,2,1,2,1885,10
_NDP_custom-call.146_0,64512,2,1,1,3526,9
_NDP_custom-call.147_0,32,3,1,1,364,9
_NDP_custom-call.148_0,64,3,1,8,488,21
_NDP_custom-call.149_0,6422528,6,1,13,1283693,42
_NDP_custom-call.150_0,589824,2,1,1,31197,8
_NDP_custom-call.151_0,6422528,9,1,23,2327132,65
_NDP_custom-call.152_0,6422528,6,2,18,2394047,45
_NDP_custom-call.153_0,1179648,2,1,1,62646,8
_NDP_custom-call.154_0,1179648,2,1,1,62364,8
_NDP_custom-call.155_0,1179648,2,1,1,62806,8
_NDP_custom-call.156_0,262144,2,1,1,14008,8
_NDP_custom-call.157_0,6422528,7,1,15,1998416,53
_NDP_custom-call.158_0,3211264,13,1,19,1307360,72
_NDP_custom-call.159_0,1605632,13,1,19,806358,72
_NDP_custom-call.160_0,1605632,10,1,24,608246,67
_NDP_custom-call.161_0,1605632,11,1,28,708056,79
_NDP_custom-call.162_0,6422528,6,2,17,2530288,44
_NDP_custom-call.163_0,6422528,8,1,23,2976843,64
_NDP_custom-call.164_0,294912,2,1,1,15639,8
_NDP_custom-call.165_0,12845056,4,1,11,899743,23
_NDP_custom-call.166_0,294912,2,1,1,15504,8
_NDP_custom-call.167_0,294912,2,1,1,16055,8
_NDP_custom-call.168_0,4718592,15,9,18,3359024,105
_NDP_custom-call.169_0,1032192,2,1,1,54833,8
_NDP_custom-call.170_0,2359296,2,1,1,126311,8
_NDP_custom-call.171_0,2359296,7,3,10,601237,45
_NDP_custom-call.172_0,4718592,2,1,1,250534,8
_NDP_custom-call.173_0,4718592,2,1,1,251255,8
_NDP_custom-call.174_0,4718592,2,1,1,251765,8
_NDP_custom-call.175_0,6422528,6,5,7,4162470,40
_NDP_custom-call.176_0,1179648,15,9,18,848772,105
_NDP_custom-call.177_0,1032192,7,3,10,224121,42
_NDP_custom-call.178_0,2016,7,3,11,857,44
