NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE
_NDP_custom-call_0,0x20,2,1,2,368
_NDP_custom-call.108_0,0x200,2,1,2,368
_NDP_custom-call.109_0,0x200,2,1,2,368
_NDP_custom-call.110_0,0x200,2,1,2,368
_NDP_custom-call.111_0,0x200,2,1,2,368
_NDP_custom-call.112_0,0x200,2,1,2,368
_NDP_custom-call.113_0,0x200,2,1,2,368
_NDP_custom-call.114_0,0x200,2,1,2,368
_NDP_custom-call.115_0,0x400,2,1,2,391
_NDP_custom-call.116_0,0x200,2,1,2,368
_NDP_custom-call.117_0,0x200,2,1,2,368
_NDP_custom-call.118_0,0x400,2,1,2,391
_NDP_custom-call.119_0,0x200,2,1,2,368
_NDP_custom-call.120_0,0x200,2,1,2,368
_NDP_custom-call.121_0,0x200,2,1,2,368
_NDP_custom-call.122_0,0x200,2,1,2,368
_NDP_custom-call.123_0,0x400,2,1,2,391
_NDP_custom-call.124_0,0x200,2,1,2,368
_NDP_custom-call.125_0,0x200,2,1,2,368
_NDP_custom-call.126_0,0x200,2,1,2,368
_NDP_custom-call.127_0,0x100,2,1,4,345
_NDP_custom-call.128_0,0x18000,6,1,15,20006
_NDP_custom-call.129_0,0x18000,8,1,19,17173
_NDP_custom-call.130_0,0x18000,8,1,19,16276
_NDP_custom-call.131_0,0x18000,6,1,15,19420
_NDP_custom-call.132_0,0x18000,8,1,19,17187
_NDP_custom-call.133_0,0x18000,6,1,15,20289
_NDP_custom-call.134_0,0x18000,6,1,15,20147
_NDP_custom-call.135_0,0x18000,8,1,19,15549
_NDP_custom-call.136_0,0x3000,2,1,4,1758
_NDP_custom-call.137_0,0x200,2,1,2,368
_NDP_custom-call.138_0,0x18000,8,1,19,17046
_NDP_custom-call.139_0,0x18000,6,1,15,20338
_NDP_custom-call.140_0,0x18000,8,1,19,16310
_NDP_custom-call.141_0,0x18000,6,1,15,20317
_NDP_custom-call.142_0,0x20,4,2,9,413
_NDP_custom-call.143_0,0x200,2,1,2,368
_NDP_custom-call.144_0,0x200,2,1,2,368
_NDP_custom-call.145_0,0x200,2,1,2,368
_NDP_custom-call.146_0,0x200,2,1,2,381
_NDP_custom-call.147_0,0x3000,2,1,2,1830
_NDP_custom-call.148_0,0x3000,2,1,2,1830
_NDP_custom-call.149_0,0x3000,2,1,2,1830
_NDP_custom-call.150_0,0x200,2,1,2,368
_NDP_custom-call.151_0,0x3000,2,1,2,1830
_NDP_custom-call.152_0,0x3000,2,1,2,1830
_NDP_custom-call.153_0,0x3000,2,1,2,1830
_NDP_custom-call.154_0,0x3000,2,1,2,1830
_NDP_custom-call.155_0,0x3000,2,1,2,1830
_NDP_custom-call.156_0,0x3000,2,1,2,1830
_NDP_custom-call.157_0,0x3000,2,1,2,1830
_NDP_custom-call.158_0,0x3000,2,1,2,1830
_NDP_custom-call.159_0,0x3000,2,1,2,1860
_NDP_custom-call.160_0,0x3000,2,1,2,1830
_NDP_custom-call.161_0,0x3000,2,1,2,1830
_NDP_custom-call.163_0,0x3000,2,1,2,1830
_NDP_custom-call.164_0,0x200,2,1,2,368
_NDP_custom-call.165_0,0x200,2,1,2,368
_NDP_custom-call.166_0,0x200,2,1,2,368
_NDP_custom-call.167_0,0x200,2,1,2,368
_NDP_custom-call.168_0,0x200,2,1,2,368
_NDP_custom-call.169_0,0x400,2,1,2,391
_NDP_custom-call.170_0,0x200,2,1,2,368
_NDP_custom-call.171_0,0x3000,2,1,2,1830
_NDP_custom-call.172_0,0x3000,2,1,2,1830
_NDP_custom-call.173_0,0x3000,2,1,2,1865
_NDP_custom-call.174_0,0x3000,2,1,2,1830
_NDP_custom-call.175_0,0x3000,2,1,2,1865
_NDP_custom-call.176_0,0x3000,2,1,2,1865
_NDP_custom-call.177_0,0x3000,2,1,2,1830
_NDP_custom-call.178_0,0x3000,2,1,2,1830
_NDP_custom-call.179_0,0x3000,2,1,2,1865
_NDP_custom-call.180_0,0x3000,2,1,2,1830
_NDP_custom-call.181_0,0x18000,7,3,26,36341
_NDP_custom-call.182_0,0x3000,6,0,18,1609
_NDP_custom-call.183_0,0x3000,6,0,18,1530
_NDP_custom-call.184_0,0x18000,7,3,26,36820
_NDP_custom-call.185_0,0x3000,6,0,18,1565
_NDP_custom-call.186_0,0x3000,6,0,18,1648
_NDP_custom-call.187_0,0x18000,7,3,26,37493
_NDP_custom-call.188_0,0x3000,6,0,18,1552
_NDP_custom-call.189_0,0x18000,7,3,26,36192
_NDP_custom-call.190_0,0x3000,6,0,18,1834
_NDP_custom-call.191_0,0x18000,7,3,26,36079
_NDP_custom-call.192_0,0x3000,6,0,18,1777
_NDP_custom-call.194_0,0x2b0000,3,1,2,162348
_NDP_custom-call.195_0,0x2e0000,4,1,4,166142
_NDP_custom-call.197_0,0x2e0000,4,1,4,166261
_NDP_custom-call.198_0,0x2b0000,4,1,4,162343
_NDP_custom-call.199_0,0x2b0000,4,1,4,162449
_NDP_custom-call.200_0,0x2e0000,4,1,4,165883
_NDP_custom-call.201_0,0x2b0000,4,1,4,163226
_NDP_custom-call.203_0,0x2b0000,4,1,4,159937
_NDP_custom-call.204_0,0x1cc000,7,3,29,0
_NDP_custom-call.205_0,0x300000,2,1,2,169115
_NDP_custom-call.206_0,0x300000,2,1,2,172113
_NDP_custom-call.207_0,0x300000,2,1,2,169353
_NDP_custom-call.208_0,0x300000,2,1,2,167566
_NDP_custom-call.209_0,0x200,27,18,129,1136
