NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,9472,1,1,11,781,16
_NDP_custom-call.1_0,9472,2,1,3,833,9
_NDP_custom-call.10_0,4091904,3,2,4,587915,14
_NDP_custom-call.11_0,4091904,1,1,6,184582,11
_NDP_custom-call.12_0,4091904,1,1,6,196409,11
_NDP_custom-call.13_0,9472,1,1,3,771,8
_NDP_custom-call.14_0,4091904,6,2,6,440710,18
_NDP_custom-call.15_0,9472,1,1,3,772,8
_NDP_custom-call.16_0,75776,2,1,1,9638,9
_NDP_custom-call.17_0,9472,2,1,10,792,16
_NDP_custom-call.18_0,4091904,2,1,2,187706,8
_NDP_custom-call.19_0,4091904,2,1,1,218399,8
_NDP_custom-call.2_0,127872,1,1,1,6062,6
_NDP_custom-call.20_0,4091904,2,1,2,187519,8
_NDP_custom-call.21_0,4091904,2,1,1,218194,8
_NDP_custom-call.22_0,75776,2,1,1,9638,9
_NDP_custom-call.24_0,75776,2,1,1,9619,9
_NDP_custom-call.3_0,75776,2,1,1,9431,9
_NDP_custom-call.5_0,9472,2,1,3,833,9
_NDP_custom-call.6_0,127872,1,1,1,6062,6
_NDP_custom-call.7_0,4091904,5,3,13,704647,27
_NDP_custom-call.8_0,4091904,3,2,10,440553,19
_NDP_custom-call.9_0,4091904,3,2,13,596769,24
