NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,9472,3,1,11,879,20
_NDP_custom-call.1_0,9472,5,1,3,1023,15
_NDP_custom-call.10_0,4091904,9,2,4,806764,25
_NDP_custom-call.11_0,4091904,3,1,6,221568,15
_NDP_custom-call.12_0,4091904,3,1,6,222334,15
_NDP_custom-call.13_0,9472,4,1,3,925,14
_NDP_custom-call.14_0,4091904,14,2,6,675983,33
_NDP_custom-call.15_0,9472,4,1,3,920,14
_NDP_custom-call.16_0,75776,2,1,1,9638,9
_NDP_custom-call.17_0,9472,4,1,10,900,20
_NDP_custom-call.18_0,4091904,4,1,2,228170,12
_NDP_custom-call.19_0,4091904,3,1,1,221342,10
_NDP_custom-call.2_0,127872,2,1,1,6965,8
_NDP_custom-call.20_0,4091904,4,1,2,227426,12
_NDP_custom-call.21_0,4091904,3,1,1,221154,10
_NDP_custom-call.22_0,75776,2,1,1,9547,9
_NDP_custom-call.24_0,75776,2,1,1,9619,9
_NDP_custom-call.3_0,75776,2,1,1,9424,9
_NDP_custom-call.5_0,9472,5,1,3,1033,15
_NDP_custom-call.6_0,127872,2,1,1,6883,8
_NDP_custom-call.7_0,4091904,13,3,13,1003035,41
_NDP_custom-call.8_0,4091904,8,2,10,482126,28
_NDP_custom-call.9_0,4091904,7,2,13,730829,31
