NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,9472,2,1,11,823,19
_NDP_custom-call.1_0,9472,3,1,3,868,13
_NDP_custom-call.10_0,4091904,3,2,4,695570,19
_NDP_custom-call.11_0,4091904,2,1,6,219335,14
_NDP_custom-call.12_0,4091904,2,1,6,220291,14
_NDP_custom-call.13_0,9472,2,1,3,828,12
_NDP_custom-call.14_0,4091904,6,2,6,501656,25
_NDP_custom-call.15_0,9472,2,1,3,824,12
_NDP_custom-call.16_0,75776,2,1,1,9638,9
_NDP_custom-call.17_0,9472,3,1,10,844,19
_NDP_custom-call.18_0,4091904,3,1,2,222130,11
_NDP_custom-call.19_0,4091904,2,1,1,216572,9
_NDP_custom-call.2_0,127872,2,1,1,6993,8
_NDP_custom-call.20_0,4091904,3,1,2,222329,11
_NDP_custom-call.21_0,4091904,2,1,1,218251,9
_NDP_custom-call.22_0,75776,2,1,1,9636,9
_NDP_custom-call.24_0,75776,2,1,1,9592,9
_NDP_custom-call.3_0,75776,2,1,1,9419,9
_NDP_custom-call.5_0,9472,3,1,3,863,13
_NDP_custom-call.6_0,127872,2,1,1,6931,8
_NDP_custom-call.7_0,4091904,5,3,13,834093,33
_NDP_custom-call.8_0,4091904,4,2,9,441119,23
_NDP_custom-call.9_0,4091904,3,2,13,667556,27
