NAME,LINES,SHAPE,CYCLE
_NDP_custom-call.100,9,0x300000,NOT FOUND
_NDP_custom-call.101,9,0x300000,NOT FOUND
_NDP_custom-call.102,8,0x300000,NOT FOUND
_NDP_custom-call.103,9,0x300000,NOT FOUND
_NDP_custom-call.104,9,0x300000,NOT FOUND
_NDP_custom-call.105,9,0x300000,NOT FOUND
_NDP_custom-call.106,9,0x300000,NOT FOUND
_NDP_custom-call.107,9,0x300000,NOT FOUND
_NDP_custom-call.108,9,0x300000,NOT FOUND
_NDP_custom-call.109,45,0x100000,NOT FOUND
_NDP_custom-call.110,6,0x200000,NOT FOUND
_NDP_custom-call.111,6,0x200000,NOT FOUND
_NDP_custom-call.112,6,0x200000,NOT FOUND
_NDP_custom-call.113,6,0x200000,NOT FOUND
_NDP_custom-call.114,6,0x200000,NOT FOUND
_NDP_custom-call.115,6,0x200000,NOT FOUND
_NDP_custom-call.116,6,0x200000,NOT FOUND
_NDP_custom-call.117,6,0x200000,NOT FOUND
_NDP_custom-call.118,6,0x200000,NOT FOUND
_NDP_custom-call.119,6,0x200000,NOT FOUND
_NDP_custom-call.120,6,0x200000,NOT FOUND
_NDP_custom-call.121,6,0x200000,NOT FOUND
_NDP_custom-call.122,33,0x72000,NOT FOUND
_NDP_custom-call.123,15,0x72000,NOT FOUND
_NDP_custom-call.125,301,0x800,NOT FOUND
_NDP_custom-call.126,305,0x800,NOT FOUND
_NDP_custom-call.127,304,0x800,NOT FOUND
_NDP_custom-call.128,312,0x800,NOT FOUND
_NDP_custom-call.130,44,0x800,NOT FOUND
_NDP_custom-call.131,90,0x1c80,NOT FOUND
_NDP_custom-call.132,16,0x800,NOT FOUND
_NDP_custom-call.133,35,0x1e0,NOT FOUND
_NDP_custom-call.134,9,0x800,NOT FOUND
_NDP_custom-call.135,45,0x20,NOT FOUND
_NDP_custom-call.136,45,0x20,NOT FOUND
_NDP_custom-call.138,11,0x60,NOT FOUND
_NDP_custom-call.139,112,0x2000,NOT FOUND
_NDP_custom-call.140,36,0xc000,NOT FOUND
_NDP_custom-call.141,12,0x60,NOT FOUND
_NDP_custom-call.86,56,0x300000,NOT FOUND
_NDP_custom-call.88,31,0x300000,NOT FOUND
_NDP_custom-call.89,28,0x300000,NOT FOUND
_NDP_custom-call.90,12,0x300000,NOT FOUND
_NDP_custom-call.91,17,0x300000,NOT FOUND
_NDP_custom-call.92,17,0x300000,NOT FOUND
_NDP_custom-call.93,17,0x300000,NOT FOUND
_NDP_custom-call.94,9,0x300000,NOT FOUND
_NDP_custom-call.95,8,0x300000,NOT FOUND
_NDP_custom-call.96,8,0x300000,NOT FOUND
_NDP_custom-call.97,9,0x300000,NOT FOUND
_NDP_custom-call.98,9,0x300000,NOT FOUND
_NDP_custom-call.99,9,0x300000,NOT FOUND
